cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
200.0,133.0,0.0,192.0,0.0,965.4,806.2,90,43.25
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.7
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.65
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
203.5,305.3,0.0,203.5,0.0,963.4,630.0,28,41.68
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,42.13
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.1
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28,36.8
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56,53.46
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28,44.33
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28,44.52
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.99
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.16
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
314.0,145.3,113.2,178.9,8.0,869.1,690.2,28,46.23
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,59.49
516.0,0.0,0.0,162.0,8.3,801.0,802.0,28,41.37
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100,46.23
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.86
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.09
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,55.25
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.25
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56,42.03
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,17.6
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28,56.83
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,47.97
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,14.84
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28,46.68
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.87
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28,26.23
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100,56.74
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.63
151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.15
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,15.87
166.0,259.7,0.0,183.2,12.7,858.8,826.8,28,37.92
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3,23.52
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56,51.96
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13
317.9,0.0,126.5,209.7,5.7,860.5,736.6,28,40.06
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100,66.42
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.42
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28,53.58
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,69.66
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56,61.46
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28,58.52
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.57
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
143.0,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28,24.28
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28,22.35
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
152.7,144.7,0.0,178.1,8.0,999.7,822.2,28,19.01
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.33
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,24.07
273.0,105.0,82.0,210.0,9.0,904.0,680.0,28,37.17
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
